ID,作物名称,种质名称,科名,属名,种名或亚种名,来源地,原产国,原产省,原产地,资源类型,主要特性,生育周期,海拔,经度,纬度,鉴定试验地点,土壤类型,生态系统类型,年均温度,年均降雨量,抗旱性鉴定结果,保存单位,保存资源类型,保存方式,实物状态,共享方式,获取途径,联系方式
YAAS0281,水稻,小红谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),云南昆明,中国,云南,文山县,地方品种,,一年生,1250,10414,2322,云南元江,砂壤,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,种子,库,好,合作研究,现场获取,伍少云，云南省农业科学院生物技术与种质资源研究所，650223
YAAS0282,水稻,文新早,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),云南昆明,中国,云南,广南县,地方品种,,一年生,1450,10513,2412,云南元江,砂壤,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,种子,库,好,合作研究,现场获取,伍少云，云南省农业科学院生物技术与种质资源研究所，650223
YAAS0283,水稻,小白阳谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),云南昆明,中国,云南,广南县,地方品种,,一年生,1450,10513,2412,云南元江,砂壤,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,种子,库,好,合作研究,现场获取,伍少云，云南省农业科学院生物技术与种质资源研究所，650223
YAAS0284,水稻,青秆糯,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),云南昆明,中国,云南,漾鼻县,地方品种,,一年生,, 9957,2541,云南元江,砂壤,,,,芽期弱,云南省农业科学院生物技术与种质资源研究所,种子,库,好,合作研究,现场获取,伍少云，云南省农业科学院生物技术与种质资源研究所，650223
YAAS0285,水稻,器上谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),云南昆明,中国,云南,广南县,地方品种,,一年生,1450,10513,2412,云南元江,砂壤,,,,芽期弱,云南省农业科学院生物技术与种质资源研究所,种子,库,好,合作研究,现场获取,伍少云，云南省农业科学院生物技术与种质资源研究所，650223
YAAS0286,水稻,红秆蚂蚱谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),云南昆明,中国,云南,广南县,地方品种,,一年生,1450,10513,2412,云南元江,砂壤,,,,芽期弱,云南省农业科学院生物技术与种质资源研究所,种子,库,好,合作研究,现场获取,伍少云，云南省农业科学院生物技术与种质资源研究所，650223
YAAS0287,水稻,半粘糯,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),云南昆明,中国,云南,广南县,地方品种,,一年生,1450,10513,2412,云南元江,砂壤,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,种子,库,好,合作研究,现场获取,伍少云，云南省农业科学院生物技术与种质资源研究所，650223
YAAS0288,水稻,大理早籼,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),云南昆明,中国,云南,大理市,地方品种,,一年生,1975,10013,2536,云南元江,砂壤,,,,芽期弱,云南省农业科学院生物技术与种质资源研究所,种子,库,好,合作研究,现场获取,伍少云，云南省农业科学院生物技术与种质资源研究所，650223
YAAS0289,水稻,蚂蚱谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),云南昆明,中国,云南,广南县,地方品种,,一年生,1450,10513,2412,云南元江,砂壤,,,,芽期弱,云南省农业科学院生物技术与种质资源研究所,种子,库,好,合作研究,现场获取,伍少云，云南省农业科学院生物技术与种质资源研究所，650223
YAAS0290,水稻,八宝米,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),云南昆明,中国,云南,广南县,地方品种,,一年生,1450,10513,2412,云南元江,砂壤,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,种子,库,好,合作研究,现场获取,伍少云，云南省农业科学院生物技术与种质资源研究所，650223
