序号,参试材料编号,干旱处理时期,鉴定时间,抗旱指数,抗旱指数评价的抗旱性,平均隶属函数值/灰色关联系数,隶属函数值/关联系数评价的抗旱性,抗旱性综合评价,抗旱系数,产量干旱,产量对照,株高干旱cm,株高对照cm,分枝数干旱,分枝数对照,主花序长干旱cm,主花序长对照cm,主花序有效角果数干旱,主花序有效角果数对照,全株有效角果数干旱,全株有效角果数对照,主茎角果密度个/cm干旱,主茎角果密度个/cm对照,角粒数干旱,角粒数对照,千粒重干旱g,千粒重对照g,主根长处理cm,主根长对照cm,侧根数处理,侧根数对照,植株总鲜重处理g,植株总鲜重对照g,根鲜重处理g,根鲜重对照g,地上部分鲜重处理g,地上部分鲜重对照g,根冠比处理,根冠比对照,备注
524,12XS265-4-3,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.79 ,S,0.44 ,HS,S,0.54 ,143.10 ,266.80 ,90.00 ,140.00 ,6.50 ,8.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
525,12XS265-5-1,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.54 ,HS,0.41 ,HS,HS,0.40 ,130.80 ,327.90 ,100.00 ,115.00 ,6.00 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
526,12XF161,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.00 ,HS,0.02 ,HS,HS,0.00 ,,362.00 ,75.00 ,100.00 ,3.00 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
527,12NF214-2,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.01 ,HS,0.19 ,HS,HS,0.04 ,13.30 ,347.40 ,100.00 ,120.00 ,4.50 ,8.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
528,11XF304-2,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.00 ,HS,0.23 ,HS,HS,0.00 ,,186.40 ,90.00 ,100.00 ,5.00 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
529,2012DF041,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.03 ,HS,0.37 ,HS,HS,0.11 ,24.50 ,214.20 ,110.00 ,127.00 ,7.00 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
530,094531-1,"花期降雨量6.7mm,大田鉴定，花期不灌溉",2014.9-2015.4,1.24 ,HR,0.46 ,HR,MR,1.04 ,240.80 ,231.38 ,115.00 ,113.00 ,6.00 ,5.83 ,,,,,185.99 ,223.00 ,0.77 ,1.05 ,22.67 ,23.88 ,4.00 ,4.06 ,,,,,,,6.88 ,5.23 ,99.53 ,96.75 ,,,"产量为折合亩产kg,灰色关联度法评价"
531,094538-2,"花期降雨量6.8mm,大田鉴定，花期不灌溉",2014.9-2015.4,1.37 ,HR,0.44 ,HR,MR,1.24 ,222.60 ,180.15 ,144.00 ,124.50 ,5.84 ,6.29 ,,,,,129.33 ,103.00 ,1.13 ,1.25 ,28.83 ,86.50 ,3.71 ,3.60 ,,,,,,,7.53 ,6.05 ,100.32 ,85.55 ,,,"产量为折合亩产kg,灰色关联度法评价"
532,094573-2,"花期降雨量6.9mm,大田鉴定，花期不灌溉",2014.9-2015.4,0.91 ,HR,0.33 ,HR,S,0.84 ,219.33 ,262.23 ,131.50 ,124.50 ,6.50 ,5.50 ,,,,,188.15 ,205.00 ,1.13 ,1.44 ,22.17 ,22.46 ,4.02 ,3.73 ,,,,,,,6.72 ,5.00 ,104.92 ,88.88 ,,,"产量为折合亩产kg,灰色关联度法评价"
533,094576-1,"花期降雨量6.10mm,大田鉴定，花期不灌溉",2014.9-2015.4,0.85 ,HR,0.47 ,HR,S,0.78 ,219.95 ,283.42 ,132.50 ,132.00 ,4.67 ,5.00 ,,,,,176.84 ,115.67 ,0.86 ,1.13 ,25.42 ,28.04 ,4.43 ,4.51 ,,,,,,,4.23 ,8.40 ,75.62 ,119.80 ,,,"产量为折合亩产kg,灰色关联度法评价"
534,094599,"花期降雨量6.11mm,大田鉴定，花期不灌溉",2014.9-2015.4,1.70 ,HR,0.51 ,HR,R,1.17 ,292.28 ,250.13 ,118.50 ,121.50 ,4.34 ,4.67 ,,,,,122.17 ,153.33 ,0.86 ,0.54 ,23.84 ,22.33 ,3.40 ,3.82 ,,,,,,,3.28 ,4.10 ,64.98 ,84.83 ,,,"产量为折合亩产kg,灰色关联度法评价"
535,12XS247-2-2,"花期降雨量6.12mm,大田鉴定，花期不灌溉",2014.9-2015.4,1.34 ,HR,0.40 ,R,HS,1.17 ,230.73 ,197.68 ,126.00 ,117.00 ,5.34 ,5.34 ,,,,,154.84 ,120.33 ,1.49 ,1.37 ,24.08 ,21.17 ,3.42 ,3.21 ,,,,,,,3.62 ,3.28 ,79.15 ,74.42 ,,,"产量为折合亩产kg,灰色关联度法评价"
536,12XS247-4-1,"花期降雨量6.13mm,大田鉴定，花期不灌溉",2014.9-2015.4,0.77 ,HR,0.43 ,R,S,0.91 ,170.90 ,187.23 ,113.50 ,103.50 ,5.34 ,7.17 ,,,,,172.00 ,309.67 ,0.85 ,0.78 ,36.83 ,25.09 ,3.27 ,2.99 ,,,,,,,3.62 ,7.38 ,66.82 ,98.13 ,,,"产量为折合亩产kg,灰色关联度法评价"
537,12XS247-5-3,"花期降雨量6.14mm,大田鉴定，花期不灌溉",2014.9-2015.4,1.21 ,HR,0.47 ,MR,MR,1.15 ,210.55 ,182.55 ,113.50 ,109.50 ,5.67 ,5.17 ,,,,,233.67 ,173.00 ,1.00 ,1.23 ,25.09 ,32.42 ,3.56 ,3.47 ,,,,,,,5.25 ,3.18 ,80.05 ,65.87 ,,,"产量为折合亩产kg,灰色关联度法评价"
538,12XS247-7-1,"花期降雨量6.15mm,大田鉴定，花期不灌溉",2014.9-2015.4,0.76 ,HR,0.62 ,MR,S,0.88 ,172.06 ,194.43 ,108.00 ,103.00 ,5.33 ,4.67 ,,,,,187.00 ,146.00 ,0.83 ,0.82 ,23.08 ,21.75 ,3.59 ,3.42 ,,,,,,,6.03 ,3.13 ,88.88 ,55.92 ,,,"产量为折合亩产kg,灰色关联度法评价"
539,12XS265-3-3,"花期降雨量6.16mm,大田鉴定，花期不灌溉",2014.9-2015.4,0.79 ,HR,0.51 ,MR,S,1.03 ,155.48 ,150.95 ,117.50 ,102.00 ,7.00 ,5.00 ,,,,,253.50 ,131.33 ,0.88 ,0.72 ,23.42 ,23.58 ,3.39 ,3.37 ,,,,,,,6.20 ,2.42 ,90.13 ,29.65 ,,,"产量为折合亩产kg,灰色关联度法评价"
540,12XS274-1-2,"花期降雨量6.17mm,大田鉴定，花期不灌溉",2014.9-2015.4,0.99 ,HR,0.40 ,MR,S,1.14 ,174.03 ,152.05 ,127.50 ,115.00 ,6.00 ,4.84 ,,,,,194.00 ,83.67 ,0.96 ,1.27 ,23.84 ,22.67 ,3.50 ,3.46 ,,,,,,,4.62 ,2.85 ,87.50 ,55.22 ,,,"产量为折合亩产kg,灰色关联度法评价"
541,12XS274-2-1,"花期降雨量6.18mm,大田鉴定，花期不灌溉",2014.9-2015.4,0.79 ,HR,0.28 ,S,S,1.08 ,148.23 ,137.28 ,121.00 ,116.50 ,6.00 ,5.17 ,,,,,150.17 ,194.00 ,1.11 ,1.34 ,20.17 ,16.17 ,3.66 ,3.58 ,,,,,,,6.53 ,6.78 ,75.87 ,105.60 ,,,"产量为折合亩产kg,灰色关联度法评价"
542,12XS274-4-1,"花期降雨量6.19mm,大田鉴定，花期不灌溉",2014.9-2015.4,1.48 ,HR,0.64 ,HR,HR,1.26 ,237.60 ,188.83 ,116.00 ,106.50 ,6.00 ,4.84 ,,,,,107.00 ,243.00 ,0.94 ,0.97 ,24.59 ,25.08 ,3.23 ,3.05 ,,,,,,,4.75 ,4.07 ,76.32 ,79.08 ,,,"产量为折合亩产kg,灰色关联度法评价"
543,12XS274-8-3,"花期降雨量6.20mm,大田鉴定，花期不灌溉",2014.9-2015.4,0.56 ,R,0.43 ,S,HS,0.74 ,151.29 ,203.80 ,115.00 ,104.00 ,6.17 ,5.00 ,,,,,212.67 ,116.00 ,0.92 ,0.97 ,22.67 ,21.34 ,3.34 ,3.14 ,,,,,,,4.45 ,2.85 ,70.60 ,48.63 ,,,"产量为折合亩产kg,灰色关联度法评价"
544,花油3号,"花期降雨量6.21mm,大田鉴定，花期不灌溉",2014.9-2015.4,0.58 ,R,0.71 ,S,MR,0.73 ,160.61 ,220.95 ,125.50 ,125.00 ,6.00 ,5.67 ,,,,,178.17 ,213.67 ,1.09 ,1.03 ,25.17 ,26.84 ,3.49 ,3.63 ,,,,,,,8.03 ,7.28 ,101.98 ,120.08 ,,,"产量为折合亩产kg,灰色关联度法评价"
545,云油杂2号,"花期降雨量6.22mm,大田鉴定，花期不灌溉",2014.9-2015.4,1.26 ,R,0.33 ,S,MR,0.95 ,265.51 ,278.30 ,125.00 ,118.50 ,5.84 ,4.50 ,,,,,171.33 ,88.67 ,1.35 ,1.43 ,28.67 ,25.34 ,3.19 ,3.21 ,,,,,,,7.10 ,3.08 ,103.63 ,50.15 ,,,"产量为折合亩产kg,灰色关联度法评价"
546,云油杂10号,"花期降雨量6.23mm,大田鉴定，花期不灌溉",2014.9-2015.4,1.53 ,R,0.37 ,S,MR,1.10 ,280.67 ,255.53 ,135.00 ,110.00 ,6.17 ,5.00 ,,,,,170.00 ,87.33 ,1.21 ,1.54 ,26.17 ,38.34 ,3.23 ,3.36 ,,,,,,,6.58 ,3.27 ,97.20 ,55.47 ,,,"产量为折合亩产kg,灰色关联度法评价"
547,云油双1号,"花期降雨量6.24mm,大田鉴定，花期不灌溉",2014.9-2015.4,1.20 ,MR,0.47 ,S,MR,1.00 ,240.44 ,239.93 ,128.50 ,120.00 ,4.17 ,4.67 ,,,,,78.50 ,119.67 ,1.14 ,1.02 ,26.08 ,28.00 ,3.69 ,3.76 ,,,,,,,5.12 ,2.83 ,62.02 ,80.27 ,,,"产量为折合亩产kg,灰色关联度法评价"
548,094560-1,"花期降雨量6.25mm,大田鉴定，花期不灌溉",2014.9-2015.4,0.85 ,MR,0.58 ,S,MR,1.13 ,151.96 ,134.98 ,125.00 ,120.00 ,4.17 ,6.00 ,,,,,79.00 ,78.33 ,1.26 ,1.54 ,28.00 ,26.00 ,4.96 ,4.17 ,,,,,,,8.47 ,6.63 ,98.60 ,102.68 ,,,"产量为折合亩产kg,灰色关联度法评价"
549,094564-2,"花期降雨量6.26mm,大田鉴定，花期不灌溉",2014.9-2015.4,0.60 ,MR,0.33 ,HS,S,0.72 ,165.58 ,228.50 ,121.50 ,104.00 ,5.34 ,5.50 ,,,,,139.50 ,116.33 ,1.06 ,1.45 ,29.58 ,27.92 ,3.62 ,3.45 ,,,,,,,7.18 ,4.67 ,104.80 ,71.78 ,,,"产量为折合亩产kg,灰色关联度法评价"
550,12XS247-6,"花期降雨量6.27mm,大田鉴定，花期不灌溉",2014.9-2015.4,1.39 ,HR,0.60 ,HR,HR,1.21 ,231.26 ,190.90 ,123.00 ,116.00 ,5.00 ,5.67 ,,,,,115.15 ,218.67 ,0.92 ,0.86 ,27.50 ,25.34 ,3.59 ,3.43 ,,,,,,,3.82 ,3.53 ,68.07 ,65.73 ,,,"产量为折合亩产kg,灰色关联度法评价"
551,12XS256-6-1,"花期降雨量6.28mm,大田鉴定，花期不灌溉",2014.9-2015.4,1.47 ,MR,0.28 ,HS,MR,1.29 ,229.31 ,177.48 ,116.00 ,120.50 ,5.17 ,5.67 ,,,,,141.33 ,142.00 ,1.08 ,1.24 ,23.58 ,27.42 ,3.06 ,3.01 ,,,,,,,3.98 ,5.77 ,63.25 ,78.62 ,,,"产量为折合亩产kg,灰色关联度法评价"
552,12XS256-1-1,"花期降雨量6.29mm,大田鉴定，花期不灌溉",2014.9-2015.4,1.06 ,MR,0.46 ,HS,MR,1.06 ,201.48 ,189.48 ,120.00 ,115.00 ,7.33 ,4.84 ,,,,,225.00 ,148.00 ,1.06 ,1.15 ,27.17 ,26.09 ,3.32 ,3.15 ,,,,,,,5.22 ,3.85 ,93.25 ,70.10 ,,,"产量为折合亩产kg,灰色关联度法评价"
553,12XS274-3-2,"花期降雨量6.30mm,大田鉴定，花期不灌溉",2014.9-2015.4,1.18 ,S,0.80 ,HS,R,1.14 ,207.32 ,181.38 ,117.50 ,106.00 ,4.34 ,4.33 ,,,,,897.84 ,152.67 ,1.06 ,5.82 ,27.67 ,25.42 ,3.35 ,3.47 ,,,,,,,3.38 ,4.92 ,60.98 ,64.40 ,,,"产量为折合亩产kg,灰色关联度法评价"
554,12XS282-1-2,"花期降雨量6.31mm,大田鉴定，花期不灌溉",2014.9-2015.4,0.91 ,S,0.47 ,HS,MR,1.10 ,166.98 ,151.75 ,106.00 ,115.00 ,6.67 ,5.84 ,,,,,168.67 ,107.33 ,0.98 ,1.18 ,20.17 ,21.00 ,3.49 ,3.52 ,,,,,,,3.40 ,3.25 ,67.07 ,63.15 ,,,"产量为折合亩产kg,灰色关联度法评价"
555,12XS282-2-1,"花期降雨量6.32mm,大田鉴定，花期不灌溉",2014.9-2015.4,1.60 ,S,0.53 ,HS,R,1.62 ,199.03 ,122.78 ,127.50 ,112.00 ,6.33 ,6.17 ,,,,,207.83 ,185.33 ,1.16 ,0.97 ,25.17 ,23.75 ,3.41 ,3.48 ,,,,,,,6.40 ,4.62 ,104.42 ,86.88 ,,,"产量为折合亩产kg,灰色关联度法评价"
556,12XS282-3-3,"花期降雨量6.33mm,大田鉴定，花期不灌溉",2014.9-2015.4,0.76 ,S,0.49 ,HS,S,1.00 ,153.78 ,153.80 ,116.50 ,115.00 ,6.50 ,6.50 ,,,,,208.67 ,220.67 ,0.81 ,0.88 ,23.42 ,23.67 ,3.48 ,3.36 ,,,,,,,7.75 ,5.00 ,101.80 ,82.58 ,,,"产量为折合亩产kg,灰色关联度法评价"
557,12XS242-5-3,"花期降雨量6.34mm,大田鉴定，花期不灌溉",2014.9-2015.4,0.71 ,S,0.42 ,HS,S,0.86 ,166.63 ,194.15 ,103.50 ,102.00 ,5.34 ,4.50 ,,,,,154.83 ,163.00 ,0.97 ,1.20 ,24.42 ,20.08 ,3.17 ,3.14 ,,,,,,,3.20 ,1.93 ,67.82 ,59.17 ,,,"产量为折合亩产kg,灰色关联度法评价"
558,12XS247-9-3,"花期降雨量6.35mm,大田鉴定，花期不灌溉",2014.9-2015.4,0.73 ,S,0.43 ,HS,S,0.81 ,182.84 ,226.48 ,114.00 ,112.50 ,4.67 ,5.17 ,,,,,159.67 ,124.33 ,0.69 ,1.07 ,27.25 ,26.92 ,3.56 ,3.43 ,,,,,,,5.60 ,4.25 ,77.53 ,77.60 ,,,"产量为折合亩产kg,灰色关联度法评价"
559,12XS256-5-3,"花期降雨量6.36mm,大田鉴定，花期不灌溉",2014.9-2015.4,1.47 ,S,0.47 ,HS,MR,1.65 ,180.10 ,109.23 ,119.00 ,114.00 ,6.00 ,5.17 ,,,,,186.67 ,133.00 ,1.10 ,1.13 ,19.42 ,19.00 ,3.71 ,3.58 ,,,,,,,5.13 ,4.07 ,73.45 ,71.43 ,,,"产量为折合亩产kg,灰色关联度法评价"
560,12XS256-8-1,"花期降雨量6.37mm,大田鉴定，花期不灌溉",2014.9-2015.4,1.19 ,S,0.43 ,HS,S,1.05 ,228.70 ,217.73 ,114.00 ,105.00 ,5.00 ,5.50 ,,,,,90.84 ,82.67 ,0.85 ,0.96 ,27.33 ,21.34 ,3.65 ,3.79 ,,,,,,,3.42 ,4.20 ,56.10 ,63.15 ,,,"产量为折合亩产kg,灰色关联度法评价"
561,12XS256-9-1,"花期降雨量6.38mm,大田鉴定，花期不灌溉",2014.9-2015.4,0.64 ,S,0.57 ,HS,MR,0.83 ,155.25 ,186.10 ,114.50 ,110.00 ,5.83 ,4.67 ,,,,,191.33 ,146.67 ,0.71 ,0.75 ,22.34 ,22.50 ,3.72 ,3.62 ,,,,,,,3.77 ,2.03 ,73.52 ,67.40 ,,,"产量为折合亩产kg,灰色关联度法评价"
562,12XS265-4-3,"花期降雨量6.39mm,大田鉴定，花期不灌溉",2014.9-2015.4,0.88 ,HS,0.54 ,HS,MR,0.96 ,184.52 ,191.90 ,122.50 ,107.50 ,4.67 ,6.00 ,,,,,152.17 ,194.67 ,1.12 ,1.25 ,21.67 ,24.42 ,3.64 ,3.47 ,,,,,,,1.68 ,4.27 ,56.28 ,70.15 ,,,"产量为折合亩产kg,灰色关联度法评价"
563,12NF214-2,"花期降雨量6.40mm,大田鉴定，花期不灌溉",2014.9-2015.4,1.20 ,HS,0.34 ,HS,S,0.96 ,252.74 ,263.61 ,125.00 ,117.00 ,5.17 ,3.67 ,,,,,112.00 ,84.67 ,1.08 ,1.02 ,23.17 ,23.75 ,3.86 ,4.05 ,,,,,,,3.62 ,4.17 ,74.63 ,72.20 ,,,"产量为折合亩产kg,灰色关联度法评价"
